,Level_id,Agg_Level_1,Agg_Level_2,weight,scale
0,Level1,Total,X,1.0,35117626.66317992
1,Level2,CA,X,0.4423713343226436,7341265.176778243
2,Level2,TX,X,0.2692966070293215,3339548.0470711295
3,Level2,WI,X,0.288332058648035,3765353.8891213387
4,Level3,CA_1,X,0.11088828563611823,749942.6663179917
5,Level3,CA_2,X,0.11024651283761028,574587.489539749
6,Level3,CA_3,X,0.1556281934748572,925312.1631799163
7,Level3,CA_4,X,0.06560834237405425,100172.70606694561
8,Level3,TX_1,X,0.07756050032868625,356323.195083682
9,Level3,TX_2,X,0.09520138980516696,581392.8033472804
10,Level3,TX_3,X,0.0965347168954704,326268.31537656905
11,Level3,WI_1,X,0.08711742382813219,514239.65062761505
12,Level3,WI_2,X,0.11662156944675067,517917.9126569038
13,Level3,WI_3,X,0.08459306537315361,508374.95449790795
14,Level4,FOODS,X,0.5685858474168043,16423636.230125522
15,Level4,HOBBIES,X,0.12807901263974555,342634.09048117156
16,Level4,HOUSEHOLD,X,0.3033351399434501,2242334.6375523014
17,Level5,FOODS_1,X,0.06262546539086332,223903.4811715481
18,Level5,FOODS_2,X,0.15464221095782107,536238.4544979079
19,Level5,FOODS_3,X,0.3513181710681185,9304391.6124477
20,Level5,HOBBIES_1,X,0.12208752618487394,308311.21548117156
21,Level5,HOBBIES_2,X,0.005991486454872973,3770.2411087866108
22,Level5,HOUSEHOLD_1,X,0.22959424267785614,1462953.740585774
23,Level5,HOUSEHOLD_2,X,0.07374089726559403,95404.41684100419
24,Level6,CA,FOODS,0.2407445261334229,3220715.0381799163
25,Level6,CA,HOBBIES,0.05885457396850525,92891.08838912135
26,Level6,CA,HOUSEHOLD,0.14277223422071206,530242.7688284519
27,Level6,TX,FOODS,0.14158311044849584,1699819.2479079498
28,Level6,TX,HOBBIES,0.04129348321994321,32062.935669456067
29,Level6,TX,HOUSEHOLD,0.08642001336088435,211283.36035564853
30,Level6,WI,FOODS,0.18625821083488192,2077249.955543933
31,Level6,WI,HOBBIES,0.027930955451299786,44783.33420502092
32,Level6,WI,HOUSEHOLD,0.07414289236185456,204338.64539748954
33,Level7,CA,FOODS_1,0.02705521043472829,60583.5679916318
34,Level7,CA,FOODS_2,0.05765456758140534,92393.929916318
35,Level7,CA,FOODS_3,0.1560347481172887,1814577.035041841
36,Level7,CA,HOBBIES_1,0.05646312535066194,85259.02824267783
37,Level7,CA,HOBBIES_2,0.0023914486178432223,1116.4660041841005
38,Level7,CA,HOUSEHOLD_1,0.10486337495980216,322494.535041841
39,Level7,CA,HOUSEHOLD_2,0.03790885926090995,30431.22018828452
40,Level7,TX,FOODS_1,0.016016111605951337,18011.14539748954
41,Level7,TX,FOODS_2,0.03442621172907648,58635.07374476988
42,Level7,TX,FOODS_3,0.0911407871134683,1038141.4304393305
43,Level7,TX,HOBBIES_1,0.03924947788994303,28589.015690376567
44,Level7,TX,HOBBIES_2,0.0020440053300000973,1002.0653765690377
45,Level7,TX,HOUSEHOLD_1,0.06711921696504429,149061.38964435147
46,Level7,TX,HOUSEHOLD_2,0.01930079639584025,8019.691422594142
47,Level7,WI,FOODS_1,0.01955414335018413,26250.444560669457
48,Level7,WI,FOODS_2,0.06256143164734056,117413.19769874477
49,Level7,WI,FOODS_3,0.10414263583735758,1054991.5308577407
50,Level7,WI,HOBBIES_1,0.026374922944270095,40554.360878661086
